School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
3566,Waiau School,03 315 6027,03 315 6437,office@waiau.school.nz,Craig Sedgwick,http://waiau.school.nz,11 Montrose Street,,Waiau,11 Montrose Street,,Waiau,7332,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Waiau,Amuri-Hurunui Ward,99066,Tipu Maia Community of Learning,-42.653683,173.04201,2.47,4,37,23,13,1,0,0,0,0
3567,Waihao Downs School,03 689 2734,03 689 2736,office@waihaodowns.school.nz,Kere Adams,http://www.waihaodowns.school.nz,1139 Hakataramea Highway,Waihao Downs,Waimate,1139 Hakataramea Highway RD 7,,Waimate,7977,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waihao,Hakataramea-Waihaorunga Ward,99040,Waimate Community of Learning,-44.790963,170.927483,1.59,7,71,62,3,0,4,1,1,0
3569,Waikari School,03 314 4250,03 314 4350,office@waikari.school.nz,Yvonne Blair,http://www.waikari.school.nz/WebSpace/30/,23 Princes Street,,Waikari,23 Princes Street,,Waikari,7420,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Hurunui,Amuri-Hurunui Ward,99066,Tipu Maia Community of Learning,-42.969376,172.700677,1.39,5,36,28,5,1,1,0,1,0
3570,Pegasus Bay School,03 920 7000,,admin@pegasusbay.school.nz,Jared Kelly,http://www.pegasusbay.school.nz,5 Solander Road,,Pegasus,5 Solander Road,,Pegasus,7612,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Pegasus,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.314909,172.692266,0.48,10,467,346,46,8,32,34,1,0
3571,Waimairi School,03 352 9208,03 352 9457,admin@waimairi.school.nz,Peter Fowler (Acting),http://www.waimairi.school.nz/,Tillman Avenue,,Christchurch,Tillman Avenue,Strowan,Christchurch,8052,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Strowan,Fendalton Ward,,,-43.504214,172.605282,0.11,9,388,269,46,17,42,9,2,3
3572,Waimataitai School,03 684 5566,03 684 4709,office@waimataitai.school.nz,Jonathan Young,http://www.waimataitai.school.nz,25 Trafalgar Street,,Timaru,25 Trafalgar Street,Maori Hill,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Maori Park,Timaru Ward,,,-44.388036,171.238242,0.67,6,521,332,99,23,47,9,11,0
3573,Waimate Centennial School,03 689 8295,03 689 8395,office@centennial.school.nz,Andrea Soper (Acting),http://centennial.ultranet.school.nz,5 Hughes Street,,Waimate,5 Hughes Street,,Waimate,7924,Minor Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waimate,Waimate Ward,99040,Waimate Community of Learning,-44.729133,171.038642,1.46,4,144,109,22,2,2,8,1,0
3574,Waimate Main School,03 689 8887,03 689 8767,office@waimatemain.school.nz,Paul Cartlidge,http://www.waimatemain.school.nz,25 John Street,,Waimate,25 John Street,,Waimate,7924,Minor Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waimate,Waimate Ward,99040,Waimate Community of Learning,-44.736306,171.046665,1.45,3,97,76,8,2,8,2,1,0
3576,Waipara School,03 314 6814,03 314 6815,waipara@xtra.co.nz,Dianne Officer,http://www.waipara.school.nz,2 Loffhagen Drive,,Waipara,P O Box 11,,Waipara,7447,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Hurunui,Glenmark Ward,99066,Tipu Maia Community of Learning,-43.053621,172.762053,1.12,6,54,40,12,0,1,0,1,0
3577,Wairakei School (Christchurch),03 351 8033,,office@wairakeichch.school.nz,Shane Buckner,http://www.wairakeichch.school.nz,250 Wairakei Road,Bryndwr,Christchurch,250 Wairakei Road,Bryndwr,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Aorangi,Papanui Ward,99027,Waimairi-iri Community of Learning,-43.500167,172.588282,0.13,6,212,105,65,12,22,7,1,0
3579,Waituna Creek School,03 689 7438,03 689 7439,office@waitunacreek.school.nz,Tiffany Ottley,http://www.waitunacreek.school.nz/,Waituna School Road,,Waimate,Waituna School Road RD 8,,Waimate,7978,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waihao,Waimate Ward,99040,Waimate Community of Learning,-44.701004,171.01671,1.44,6,35,30,4,0,0,0,1,0
3580,Wakanui School,03 302 3899,03 302 3896,office@wakanui.school.nz,Rebekah Clement,http://www.wakanui.school.nz,Wakanui School Road,,Ashburton,20 Wakanui School Road RD 7,,Ashburton,7777,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Chertsey,Eastern Ward,99043,Hakatere Kāhui Ako,-43.973865,171.822857,1.3,8,120,95,4,0,7,14,0,0
3581,Waltham School,03 379 3137,03 379 3870,principal@waltham.school.nz,Gordon Caddie,http://www.waltham.school.nz,Hastings Street East,Waltham,Christchurch,Hastings Street East,Waltham,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Waltham,Heathcote Ward,99177,Te Mana Raupō Community of Learning,-43.548989,172.648613,0.06,3,280,104,68,30,62,14,2,0
3585,Weedons School,03 347 8740,03 347 7026,kathybell@weedons.school.nz,Kathleen Bell,http://www.weedons.school.nz,Weedons Ross Road,Weedons,Christchurch,Weedons Ross Road RD 5,West Melton,Christchurch,7675,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,West Melton,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.570608,172.403181,0.46,10,151,131,17,0,3,0,0,0
3586,West Eyreton School,03 312 5850,03 312 5896,office@westeyreton.school.nz,Hayden van Lent,http://www.westeyreton.school.nz,1651 North Eyre Road,West Eyreton,Rangiora,1651 North Eyre Road RD 5,,Rangiora,7475,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,West Eyreton,Oxford-Ohoka Ward,99077,Puketeraki Community of Learning,-43.349492,172.360111,0.75,10,202,168,23,5,0,5,1,0
3587,West Melton School,03 347 8448,03 347 8459,office@westmelton.school.nz,Tracey Riley,http://westmelton.school.nz/,Weedons Ross Road,,West Melton,743 Weedons Ross Road,,West Melton,7618,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,West Melton,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.521443,172.369386,0.51,10,446,387,31,5,18,5,0,0
3588,Te Ara Koropiko West Spreydon School,03 338 8184,03 338 8348,admin@westspreydon.school.nz,Marriene Langton,http://www.westspreydon.school.nz,147 Lyttelton Street,Spreydon,Christchurch,147 Lyttelton Street,Spreydon,Christchurch,8024,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Barrington North,Spreydon Ward,,,-43.559634,172.611297,0.1,4,299,161,66,29,29,12,2,0
3589,Westburn School,03 358 8173,03 357 8479,admin@westburn.school.nz,Susan Jennison,http://www.westburn.school.nz,257 Waimairi Road,Ilam,Christchurch,257 Waimairi Road,Ilam,Christchurch,8041,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Westburn,Waimairi Ward,,,-43.512146,172.570887,0.15,9,475,196,19,12,231,14,3,0
3591,Wharenui School,03 348 5263,03 348 5243,helen.tuuta@wharenui.school.nz,Tracey Young,http://www.wharenui.school.nz,Matipo Street,Riccarton,Christchurch,Matipo Street,Riccarton,Christchurch,8041,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Riccarton,Riccarton Ward,99176,Pūtaringamotu Kāhui Ako,-43.536311,172.596742,0.1,3,325,47,73,27,151,25,2,0
3594,Longbeach School,03 302 6643,03 302 6871,office@longbeach.school.nz,Neil Simons,http://www.longbeach.school.nz,Boundary Road,,Ashburton,838 Boundary Road RD 3,,Ashburton,7773,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Hinds,Eastern Ward,99043,Hakatere Kāhui Ako,-43.979123,171.683118,1.18,9,146,133,7,2,2,0,2,0
3597,Windwhistle School,03 318 6828,03 318 6928,office@windwhistle.school.nz,Bronwen Seaward,http://www.windwhistle.school.nz,19 Rakaia Gorge Road,,Darfield,19 Rakaia Gorge Road RD 2,,Darfield,7572,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Malvern,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.515524,171.713285,1.55,10,21,20,1,0,0,0,0,0
3599,Woodbury School,03 692 2817,03 692 2818,office@woodbury.school.nz,Mike de Joux,http://www.woodbury.school.nz,559 Woodbury Road,,Geraldine,559 Woodbury Road RD 21,,Geraldine,7991,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Orari,Geraldine Ward,99053,Ka Awa Whiria,-44.034925,171.206998,1.34,8,102,94,2,2,1,3,0,0
3600,Woodend School,03 312 7808,03 312 2178,office@woodend.school.nz,Adrienne Simpson,http://www.woodend.school.nz/,Main North Road,,Woodend,P O Box 93,,Woodend,7641,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Woodend,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.324564,172.665404,0.41,8,384,305,53,4,12,9,1,0
3602,Yaldhurst Model School,03 342 7933,03 342 7933,secretary@yaldhurst.school.nz,Allan Robertson,http://www.yaldhurst.school.nz,School Road,,Yaldhurst,School Road RD 6,Russley,Christchurch,7676,Main Urban Area,Full Primary,Model School,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Yaldhurst,Harewood Ward,99045,Uru Mānuka Kāhui Ako,-43.510194,172.502189,0.26,5,111,82,10,4,12,3,0,0
3732,Duntroon School,03 431 2829,03 431 2040,office@duntroon.school.nz,Mike Turner,http://www.duntroon.school.nz,Campbell Street,,Duntroon,1 Livingstone Street RD 5K,,Oamaru,9494,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waitaki District,Canterbury Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Duntroon,Corriedale Ward,,,-44.856037,170.686398,1.93,9,91,72,4,5,8,1,1,0
3789,Omarama School,03 438 9815,03 438 9459,principal@omarama.school.nz,Michelle Green,http://www.omarama.school.nz,State Highway 8,,Omarama,Counter Delivery,Omarama Postcentre,Omarama,9448,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waitaki District,Canterbury Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Omarama,Ahuriri Ward,,,-44.48905,169.962015,3.39,7,56,53,2,0,1,0,0,0
4118,Medbury Preparatory School,03 351 6169,03 351 6563,office@medbury.school.nz,Ian MacPherson,http://www.medbury.school.nz,109 Clyde Road,Fendalton,Christchurch,P O Box 29006,Fendalton,Christchurch,8540,Main Urban Area,Full Primary,School with Boarding Facilities,Private : Fully Registered,Not applicable,Single Sex (Boys School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Fendalton,Fendalton Ward,,,-43.521889,172.589114,Not applicable,10,420,299,28,1,79,10,2,1
4132,St Joseph's School (Rangiora),03 313 7828,03 313 7818,admin@sjr.nz,Ben Gorman,http://www.sjr.nz,35 Victoria Street,,Rangiora,P O Box 58,,Rangiora,7440,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Rangiora East,Rangiora-Ashley Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.307442,172.595537,0.4,9,170,131,9,12,15,3,0,0
4135,St Mark's School (Christchurch),03 332 7339,03 332 4485,office@saintmarks.school.nz,Averil Worner,http://www.saintmarks.school.nz,Cholmondeley Avenue,Opawa,Christchurch,35 Cholmondeley Avenue,Opawa,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Opawa,Heathcote Ward,99177,Te Mana Raupō Community of Learning,-43.552887,172.659307,0.09,10,236,194,13,6,19,4,0,0
4136,St Michael's Church School,03 379 9790,03 365 0554,principal@saintmichaels.co.nz,Penny Tattershaw,http://saintmichaels.co.nz/,249 Durham Street,Christchurch Central,Christchurch,P O Box 4022,Christchurch Central,Christchurch,8140,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Not applicable,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Cathedral Square,Central Ward,,,-43.534774,172.633065,Not applicable,8,136,72,8,1,55,0,0,0
4138,Selwyn House School,021 333 923,,office@selhouse.school.nz,Donna Ellery (Acting),http://www.selwynhouse.school.nz,122 Merivale Lane,Merivale,Christchurch,P O Box 25049,Merivale,Christchurch,8014,Main Urban Area,Full Primary,School with Boarding Facilities,Private : Fully Registered,Not applicable,Single Sex (Girls School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Merivale,Fendalton Ward,,,-43.516643,172.623012,Not applicable,10,266,208,9,1,35,4,4,5
4143,Tamariki School,03 384 9014,03 384 9029,admin@tamariki.school.nz,Samuel Smith,http://www.tamariki.school.nz/,86 St John's Street,Woolston,Christchurch,P O Box 19506,Woolston,Christchurch,8241,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Ferrymead,Linwood Ward,99063,Tamai Community of Learning,-43.546479,172.689238,0.12,4,54,41,7,1,5,0,0,0
4147,Waihi School,03 687 8014,03 615 8118,admin@waihi.school.nz,Allan Short,http://www.waihi.school.nz,611 Temuka-Orari Highway,,Temuka,611 Temuka-Orari Highway RD 26,,Temuka,7986,Rural Area,Full Primary,School with Boarding Facilities,Private : Fully Registered,Not applicable,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Orari,Geraldine Ward,,,-44.173004,171.28259,Not applicable,10,85,75,9,0,1,0,0,0
4212,TKKM o Waitaha,03 377 1436,03 353 2840,kura@whakapumau.ac.nz,Merita Waitoa-Paki,http://whakapumau.ac.nz,45 Hassals Lane,Waltham,Christchurch,45 Hassals Lane,Waltham,Christchurch,8023,Main Urban Area,Composite,Kura Kaupapa Maori,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Opawa,Heathcote Ward,,,-43.551181,172.656331,0.08,1,152,1,150,1,0,0,0,0
6967,Lemonwood Grove School,03 974 9236,,office@lemonwoodgrove.school.nz,Blair Dravitski,http://www.lemonwoodgrove.school.nz/,14 Lemonwood Drive,,Rolleston,14 Lemonwood Drive,Rolleston West,Rolleston,7615,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.622673,172.386021,0.5,10,588,327,69,17,119,41,15,0
6980,Clearview Primary,03 347 7025,03 347 7014,admin@clearview.school.nz,Rob Rush,http://www.clearview.school.nz,20 Broadlands Drive,,Rolleston,P O Box 116,Faringdon,Rolleston,7643,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South West,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.606108,172.38121,0.53,10,813,575,101,14,92,25,6,0
